epoch,train_loss,val_loss
0,0,0.4532974835099845,0.33405574162801105
0,1,0.3244110767183633,0.2993793785572052
0,2,0.29879654378726567,0.28819113969802856
0,3,0.25842721606123037,0.2614895701408386
0,4,0.24884548063935905,0.25247247020403546
0,5,0.24367378909012366,0.2553172707557678
0,6,0.23827603562124844,0.2491352061430613
0,7,0.23638384917686725,0.24025981624921164
0,8,0.23224042612930823,0.2395032743612925
0,9,0.23006333975956358,0.23226488629976907
0,10,0.22771931927779626,0.24084267020225525
0,11,0.2270693244605229,0.23926355441411337
0,12,0.22094594712915092,0.24989242355028787
0,13,0.2254375681794923,0.2307587464650472
0,14,0.2182012765571989,0.2247720460096995
0,15,0.2124358107303751,0.22844088077545166
0,16,0.21453534734660182,0.22311830520629883
0,17,0.2113765889200671,0.23884024222691855
0,18,0.2112660171656773,0.22691912452379862
0,19,0.20580924379414525,0.22664064168930054
0,20,0.20663863728786336,0.22322564323743185
0,21,0.20515296685284581,0.21697484453519186
0,22,0.203823393788831,0.23895999789237976
0,23,0.20739480442014233,0.21373388171195984
0,24,0.20107393120897227,0.2222311794757843
0,25,0.20017694810341144,0.2152291735013326
0,26,0.1990669349144245,0.21871477365493774
0,27,0.1991696727686915,0.2094139059384664
0,28,0.19696588249042116,0.21101845304171243
0,29,0.19720130439462333,0.21076948444048563
0,30,0.19483476671679267,0.22002468506495157
0,31,0.19627730085931974,0.22453283270200095
0,32,0.1963816274856699,0.21341586112976074
0,33,0.19281871051623903,0.21857579549153647
0,34,0.1941862024109939,0.21529745062192282
0,35,0.19180736562301373,0.21813339988390604
0,36,0.19207101546484848,0.2170866628487905
0,37,0.19129458583634476,0.21752595901489258
0,38,0.1902901920778998,0.21713892618815103
0,39,0.19031222832613978,0.21268088618914285
0,40,0.18873356950694117,0.21133973201115927
0,41,0.1877637125294784,0.21427609523137411
0,42,0.1861420540974058,0.21810303131739298
0,43,0.1873234787891651,0.21555136640866598
0,44,0.18786361710778599,0.20775566498438516
0,45,0.1849931786800253,0.2091973821322123
0,46,0.18588596171346203,0.2055376966794332
0,47,0.18267682811309552,0.20854551593462625
0,48,0.1840577063889339,0.2196869949499766
0,49,0.18469564462530202,0.20672114690144858
0,50,0.1825881415400012,0.21877450744311014
0,51,0.18236645542342086,0.2147979736328125
0,52,0.18242843808798953,0.20993650952974954
0,53,0.18109516028700204,0.21030553181966147
0,54,0.18033301213691974,0.21204963326454163
0,55,0.18056983063960896,0.2126042644182841
0,56,0.1785682275377471,0.21751839915911356
0,57,0.17931472535791068,0.21116291483243307
0,58,0.1778940044600388,0.21926313638687134
0,59,0.1778330278807673,0.21923643350601196
0,60,0.17881129527914114,0.22208655873934427
0,61,0.17570521913725753,0.20991186300913492
0,62,0.17686092648012885,0.20882495244344076
0,63,0.17355893706453257,0.20311932762463888
0,64,0.17472499095160385,0.21786028146743774
0,65,0.1735959217466157,0.21053895354270935
0,66,0.1731171659354506,0.19891230265299478
